date,chatgpt
2021-01-17,0
2021-01-24,0
2021-01-31,0
2021-02-07,0
2021-02-14,0
2021-02-21,0
2021-02-28,0
2021-03-07,0
2021-03-14,0
2021-03-21,0
2021-03-28,0
2021-04-04,0
2021-04-11,0
2021-04-18,0
2021-04-25,0
2021-05-02,0
2021-05-09,0
2021-05-16,0
2021-05-23,0
2021-05-30,0
2021-06-06,0
2021-06-13,0
2021-06-20,0
2021-06-27,0
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,0
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,0
2021-10-31,0
2021-11-07,0
2021-11-14,0
2021-11-21,0
2021-11-28,0
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,0
2022-01-09,0
2022-01-16,0
2022-01-23,0
2022-01-30,0
2022-02-06,0
2022-02-13,0
2022-02-20,0
2022-02-27,0
2022-03-06,0
2022-03-13,0
2022-03-20,0
2022-03-27,0
2022-04-03,0
2022-04-10,0
2022-04-17,0
2022-04-24,0
2022-05-01,0
2022-05-08,0
2022-05-15,0
2022-05-22,0
2022-05-29,0
2022-06-05,0
2022-06-12,0
2022-06-19,0
2022-06-26,0
2022-07-03,0
2022-07-10,0
2022-07-17,0
2022-07-24,0
2022-07-31,0
2022-08-07,0
2022-08-14,0
2022-08-21,0
2022-08-28,0
2022-09-04,0
2022-09-11,0
2022-09-18,0
2022-09-25,0
2022-10-02,0
2022-10-09,0
2022-10-16,0
2022-10-23,0
2022-10-30,0
2022-11-06,0
2022-11-13,0
2022-11-20,0
2022-11-27,0
2022-12-04,3
2022-12-11,5
2022-12-18,6
2022-12-25,5
2023-01-01,10
2023-01-08,16
2023-01-15,23
2023-01-22,20
2023-01-29,18
2023-02-05,18
2023-02-12,19
2023-02-19,17
2023-02-26,16
2023-03-05,16
2023-03-12,20
2023-03-19,21
2023-03-26,24
2023-04-02,23
2023-04-09,21
2023-04-16,20
2023-04-23,21
2023-04-30,21
2023-05-07,19
2023-05-14,19
2023-05-21,20
2023-05-28,18
2023-06-04,16
2023-06-11,16
2023-06-18,16
2023-06-25,15
2023-07-02,15
2023-07-09,14
2023-07-16,12
2023-07-23,11
2023-07-30,10
2023-08-06,10
2023-08-13,9
2023-08-20,11
2023-08-27,12
2023-09-03,14
2023-09-10,18
2023-09-17,18
2023-09-24,21
2023-10-01,22
2023-10-08,22
2023-10-15,22
2023-10-22,20
2023-10-29,16
2023-11-05,22
2023-11-12,21
2023-11-19,22
2023-11-26,22
2023-12-03,22
2023-12-10,24
2023-12-17,20
2023-12-24,12
2023-12-31,16
2024-01-07,21
2024-01-14,19
2024-01-21,19
2024-01-28,19
2024-02-04,21
2024-02-11,21
2024-02-18,20
2024-02-25,19
2024-03-03,20
2024-03-10,22
2024-03-17,23
2024-03-24,21
2024-03-31,20
2024-04-07,20
2024-04-14,18
2024-04-21,19
2024-04-28,18
2024-05-05,14
2024-05-12,20
2024-05-19,19
2024-05-26,19
2024-06-02,21
2024-06-09,16
2024-06-16,14
2024-06-23,14
2024-06-30,12
2024-07-07,12
2024-07-14,12
2024-07-21,11
2024-07-28,10
2024-08-04,10
2024-08-11,10
2024-08-18,12
2024-08-25,15
2024-09-01,16
2024-09-08,20
2024-09-15,26
2024-09-22,28
2024-09-29,29
2024-10-06,32
2024-10-13,39
2024-10-20,37
2024-10-27,35
2024-11-03,46
2024-11-10,43
2024-11-17,48
2024-11-24,47
2024-12-01,47
2024-12-08,53
2024-12-15,49
2024-12-22,34
2024-12-29,37
2025-01-05,49
2025-01-12,45
2025-01-19,45
2025-01-26,41
2025-02-02,42
2025-02-09,45
2025-02-16,42
2025-02-23,43
2025-03-02,46
2025-03-09,44
2025-03-16,47
2025-03-23,47
2025-03-30,56
2025-04-06,67
2025-04-13,55
2025-04-20,53
2025-04-27,49
2025-05-04,49
2025-05-11,61
2025-05-18,72
2025-05-25,61
2025-06-01,67
2025-06-08,72
2025-06-15,65
2025-06-22,67
2025-06-29,62
2025-07-06,61
2025-07-13,59
2025-07-20,64
2025-07-27,54
2025-08-03,53
2025-08-10,49
2025-08-17,52
2025-08-24,56
2025-08-31,61
2025-09-07,66
2025-09-14,77
2025-09-21,87
2025-09-28,81
2025-10-05,77
2025-10-12,78
2025-10-19,83
2025-10-26,80
2025-11-02,95
2025-11-09,86
2025-11-16,100
2025-11-23,96
2025-11-30,92
2025-12-07,93
2025-12-14,94
2025-12-21,68
2025-12-28,75
2026-01-04,84
2026-01-11,85
2026-01-18,90
