date,chatgpt,iphone,meteo
2025-01-19,11,13,47
2025-01-26,10,13,53
2025-02-02,10,13,46
2025-02-09,10,14,45
2025-02-16,10,16,47
2025-02-23,10,15,47
2025-03-02,11,15,45
2025-03-09,10,14,60
2025-03-16,11,14,58
2025-03-23,11,13,54
2025-03-30,13,14,49
2025-04-06,15,15,67
2025-04-13,13,14,86
2025-04-20,12,14,78
2025-04-27,11,13,77
2025-05-04,11,13,77
2025-05-11,14,12,66
2025-05-18,17,12,75
2025-05-25,14,12,75
2025-06-01,15,13,82
2025-06-08,17,14,79
2025-06-15,15,13,64
2025-06-22,15,13,87
2025-06-29,14,14,100
2025-07-06,14,14,73
2025-07-13,14,14,93
2025-07-20,15,15,97
2025-07-27,13,14,74
2025-08-03,12,15,61
2025-08-10,11,15,91
2025-08-17,12,14,90
2025-08-24,13,15,88
2025-08-31,14,15,78
2025-09-07,15,29,75
2025-09-14,18,23,63
2025-09-21,20,21,64
2025-09-28,19,17,50
2025-10-05,18,16,38
2025-10-12,18,16,41
2025-10-19,19,15,68
2025-10-26,19,15,52
2025-11-02,22,17,45
2025-11-09,20,17,46
2025-11-16,23,18,64
2025-11-23,22,21,51
2025-11-30,21,19,43
2025-12-07,22,18,34
2025-12-14,22,18,42
2025-12-21,16,23,54
2025-12-28,17,19,52
2026-01-04,19,16,96
2026-01-11,20,14,43
2026-01-18,20,14,48
