number,frequency,share
1,186,0.018806875631951468
2,186,0.018806875631951468
3,194,0.01961577350859454
4,200,0.020222446916076844
5,203,0.020525783619817998
6,193,0.019514661274014154
7,202,0.020424671385237615
8,191,0.019312436804853388
9,186,0.018806875631951468
10,217,0.021941354903943378
11,193,0.019514661274014154
12,198,0.020020222446916078
13,202,0.020424671385237615
14,205,0.020728008088978768
15,200,0.020222446916076844
16,194,0.01961577350859454
17,216,0.02184024266936299
18,176,0.017795753286147624
19,220,0.022244691607684528
20,203,0.020525783619817998
21,213,0.02153690596562184
22,154,0.01557128412537917
23,223,0.02254802831142568
24,201,0.02032355915065723
25,208,0.021031344792719918
26,206,0.02082912032355915
27,206,0.02082912032355915
28,191,0.019312436804853388
29,219,0.022143579373104145
30,198,0.020020222446916078
31,187,0.01890798786653185
32,179,0.018099089989888777
33,173,0.01749241658240647
34,199,0.02012133468149646
35,207,0.020930232558139535
36,185,0.01870576339737108
37,212,0.021435793731041455
38,201,0.02032355915065723
39,195,0.019716885743174924
40,180,0.01820020222446916
41,181,0.018301314459049544
42,224,0.02264914054600607
43,180,0.01820020222446916
44,224,0.02264914054600607
45,209,0.021132457027300305
46,177,0.017896865520728007
47,188,0.019009100101112234
48,196,0.019817997977755308
49,198,0.020020222446916078
50,211,0.02133468149646107
