date,chatgpt,iphone,meteo
2021-01-17,0,7,39
2021-01-24,0,7,36
2021-01-31,0,7,36
2021-02-07,0,7,63
2021-02-14,0,7,34
2021-02-21,0,7,36
2021-02-28,0,7,34
2021-03-07,0,7,41
2021-03-14,0,6,36
2021-03-21,0,6,35
2021-03-28,0,6,40
2021-04-04,0,6,41
2021-04-11,0,6,38
2021-04-18,0,6,37
2021-04-25,0,6,47
2021-05-02,0,6,59
2021-05-09,0,6,75
2021-05-16,0,6,65
2021-05-23,0,6,56
2021-05-30,0,6,72
2021-06-06,0,6,47
2021-06-13,0,6,76
2021-06-20,0,6,75
2021-06-27,0,6,71
2021-07-04,0,7,77
2021-07-11,0,7,74
2021-07-18,0,8,66
2021-07-25,0,7,75
2021-08-01,0,7,81
2021-08-08,0,8,60
2021-08-15,0,7,66
2021-08-22,0,8,49
2021-08-29,0,8,55
2021-09-05,0,8,67
2021-09-12,0,12,69
2021-09-19,0,11,53
2021-09-26,0,10,53
2021-10-03,0,9,45
2021-10-10,0,8,30
2021-10-17,0,8,41
2021-10-24,0,8,45
2021-10-31,0,8,39
2021-11-07,0,8,32
2021-11-14,0,8,27
2021-11-21,0,9,37
2021-11-28,0,9,39
2021-12-05,0,9,36
2021-12-12,0,8,20
2021-12-19,0,11,26
2021-12-26,0,11,28
2022-01-02,0,9,31
2022-01-09,0,8,25
2022-01-16,0,7,22
2022-01-23,0,7,23
2022-01-30,0,7,29
2022-02-06,0,7,33
2022-02-13,0,7,41
2022-02-20,0,7,31
2022-02-27,0,7,31
2022-03-06,0,7,36
2022-03-13,0,7,34
2022-03-20,0,7,29
2022-03-27,0,6,56
2022-04-03,0,7,52
2022-04-10,0,7,45
2022-04-17,0,7,58
2022-04-24,0,7,44
2022-05-01,0,7,48
2022-05-08,0,6,49
2022-05-15,0,6,66
2022-05-22,0,6,67
2022-05-29,0,7,74
2022-06-05,0,7,60
2022-06-12,0,7,69
2022-06-19,0,7,94
2022-06-26,0,7,61
2022-07-03,0,8,44
2022-07-10,0,7,50
2022-07-17,0,8,84
2022-07-24,0,8,60
