date,chatgpt,iphone,meteo,chatgpt_lag1,chatgpt_roll4,iphone_lag1,iphone_roll4,meteo_lag1,meteo_roll4,month,target_chatgpt_high_next_week
2021-02-07,0,7,63,0.0,0.0,7.0,7.0,36.0,43.5,2,0
2021-02-14,0,7,34,0.0,0.0,7.0,7.0,63.0,42.25,2,0
2021-02-21,0,7,36,0.0,0.0,7.0,7.0,34.0,42.25,2,0
2021-02-28,0,7,34,0.0,0.0,7.0,7.0,36.0,41.75,2,0
2021-03-07,0,7,41,0.0,0.0,7.0,7.0,34.0,36.25,3,0
2021-03-14,0,6,36,0.0,0.0,7.0,6.75,41.0,36.75,3,0
2021-03-21,0,6,35,0.0,0.0,6.0,6.5,36.0,36.5,3,0
2021-03-28,0,6,40,0.0,0.0,6.0,6.25,35.0,38.0,3,0
2021-04-04,0,6,41,0.0,0.0,6.0,6.0,40.0,38.0,4,0
2021-04-11,0,6,38,0.0,0.0,6.0,6.0,41.0,38.5,4,0
2021-04-18,0,6,37,0.0,0.0,6.0,6.0,38.0,39.0,4,0
2021-04-25,0,6,47,0.0,0.0,6.0,6.0,37.0,40.75,4,0
2021-05-02,0,6,59,0.0,0.0,6.0,6.0,47.0,45.25,5,0
2021-05-09,0,6,75,0.0,0.0,6.0,6.0,59.0,54.5,5,0
2021-05-16,0,6,65,0.0,0.0,6.0,6.0,75.0,61.5,5,0
2021-05-23,0,6,56,0.0,0.0,6.0,6.0,65.0,63.75,5,0
2021-05-30,0,6,72,0.0,0.0,6.0,6.0,56.0,67.0,5,0
2021-06-06,0,6,47,0.0,0.0,6.0,6.0,72.0,60.0,6,0
2021-06-13,0,6,76,0.0,0.0,6.0,6.0,47.0,62.75,6,0
2021-06-20,0,6,75,0.0,0.0,6.0,6.0,76.0,67.5,6,0
2021-06-27,0,6,71,0.0,0.0,6.0,6.0,75.0,67.25,6,0
2021-07-04,0,7,77,0.0,0.0,6.0,6.25,71.0,74.75,7,0
2021-07-11,0,7,74,0.0,0.0,7.0,6.5,77.0,74.25,7,0
2021-07-18,0,8,66,0.0,0.0,7.0,7.0,74.0,72.0,7,0
2021-07-25,0,7,75,0.0,0.0,8.0,7.25,66.0,73.0,7,0
2021-08-01,0,7,81,0.0,0.0,7.0,7.25,75.0,74.0,8,0
2021-08-08,0,8,60,0.0,0.0,7.0,7.5,81.0,70.5,8,0
2021-08-15,0,7,66,0.0,0.0,8.0,7.25,60.0,70.5,8,0
2021-08-22,0,8,49,0.0,0.0,7.0,7.5,66.0,64.0,8,0
2021-08-29,0,8,55,0.0,0.0,8.0,7.75,49.0,57.5,8,0
2021-09-05,0,8,67,0.0,0.0,8.0,7.75,55.0,59.25,9,0
2021-09-12,0,12,69,0.0,0.0,8.0,9.0,67.0,60.0,9,0
2021-09-19,0,11,53,0.0,0.0,12.0,9.75,69.0,61.0,9,0
2021-09-26,0,10,53,0.0,0.0,11.0,10.25,53.0,60.5,9,0
2021-10-03,0,9,45,0.0,0.0,10.0,10.5,53.0,55.0,10,0
2021-10-10,0,8,30,0.0,0.0,9.0,9.5,45.0,45.25,10,0
2021-10-17,0,8,41,0.0,0.0,8.0,8.75,30.0,42.25,10,0
2021-10-24,0,8,45,0.0,0.0,8.0,8.25,41.0,40.25,10,0
2021-10-31,0,8,39,0.0,0.0,8.0,8.0,45.0,38.75,10,0
2021-11-07,0,8,32,0.0,0.0,8.0,8.0,39.0,39.25,11,0
2021-11-14,0,8,27,0.0,0.0,8.0,8.0,32.0,35.75,11,0
2021-11-21,0,9,37,0.0,0.0,8.0,8.25,27.0,33.75,11,0
2021-11-28,0,9,39,0.0,0.0,9.0,8.5,37.0,33.75,11,0
2021-12-05,0,9,36,0.0,0.0,9.0,8.75,39.0,34.75,12,0
2021-12-12,0,8,20,0.0,0.0,9.0,8.75,36.0,33.0,12,0
2021-12-19,0,11,26,0.0,0.0,8.0,9.25,20.0,30.25,12,0
2021-12-26,0,11,28,0.0,0.0,11.0,9.75,26.0,27.5,12,0
2022-01-02,0,9,31,0.0,0.0,11.0,9.75,28.0,26.25,1,0
2022-01-09,0,8,25,0.0,0.0,9.0,9.75,31.0,27.5,1,0
2022-01-16,0,7,22,0.0,0.0,8.0,8.75,25.0,26.5,1,0
2022-01-23,0,7,23,0.0,0.0,7.0,7.75,22.0,25.25,1,0
2022-01-30,0,7,29,0.0,0.0,7.0,7.25,23.0,24.75,1,0
2022-02-06,0,7,33,0.0,0.0,7.0,7.0,29.0,26.75,2,0
2022-02-13,0,7,41,0.0,0.0,7.0,7.0,33.0,31.5,2,0
2022-02-20,0,7,31,0.0,0.0,7.0,7.0,41.0,33.5,2,0
2022-02-27,0,7,31,0.0,0.0,7.0,7.0,31.0,34.0,2,0
2022-03-06,0,7,36,0.0,0.0,7.0,7.0,31.0,34.75,3,0
2022-03-13,0,7,34,0.0,0.0,7.0,7.0,36.0,33.0,3,0
2022-03-20,0,7,29,0.0,0.0,7.0,7.0,34.0,32.5,3,0
2022-03-27,0,6,56,0.0,0.0,7.0,6.75,29.0,38.75,3,0
2022-04-03,0,7,52,0.0,0.0,6.0,6.75,56.0,42.75,4,0
2022-04-10,0,7,45,0.0,0.0,7.0,6.75,52.0,45.5,4,0
2022-04-17,0,7,58,0.0,0.0,7.0,6.75,45.0,52.75,4,0
2022-04-24,0,7,44,0.0,0.0,7.0,7.0,58.0,49.75,4,0
2022-05-01,0,7,48,0.0,0.0,7.0,7.0,44.0,48.75,5,0
2022-05-08,0,6,49,0.0,0.0,7.0,6.75,48.0,49.75,5,0
2022-05-15,0,6,66,0.0,0.0,6.0,6.5,49.0,51.75,5,0
2022-05-22,0,6,67,0.0,0.0,6.0,6.25,66.0,57.5,5,0
2022-05-29,0,7,74,0.0,0.0,6.0,6.25,67.0,64.0,5,0
2022-06-05,0,7,60,0.0,0.0,7.0,6.5,74.0,66.75,6,0
2022-06-12,0,7,69,0.0,0.0,7.0,6.75,60.0,67.5,6,0
2022-06-19,0,7,94,0.0,0.0,7.0,7.0,69.0,74.25,6,0
2022-06-26,0,7,61,0.0,0.0,7.0,7.0,94.0,71.0,6,0
2022-07-03,0,8,44,0.0,0.0,7.0,7.25,61.0,67.0,7,0
2022-07-10,0,7,50,0.0,0.0,8.0,7.25,44.0,62.25,7,0
2022-07-17,0,8,84,0.0,0.0,7.0,7.5,50.0,59.75,7,0
