date,signal,interest
2021-01-17,chatgpt,0
2021-01-24,chatgpt,0
2021-01-31,chatgpt,0
2021-02-07,chatgpt,0
2021-02-14,chatgpt,0
2021-02-21,chatgpt,0
2021-02-28,chatgpt,0
2021-03-07,chatgpt,0
2021-03-14,chatgpt,0
2021-03-21,chatgpt,0
2021-03-28,chatgpt,0
2021-04-04,chatgpt,0
2021-04-11,chatgpt,0
2021-04-18,chatgpt,0
2021-04-25,chatgpt,0
2021-05-02,chatgpt,0
2021-05-09,chatgpt,0
2021-05-16,chatgpt,0
2021-05-23,chatgpt,0
2021-05-30,chatgpt,0
2021-06-06,chatgpt,0
2021-06-13,chatgpt,0
2021-06-20,chatgpt,0
2021-06-27,chatgpt,0
2021-07-04,chatgpt,0
2021-07-11,chatgpt,0
2021-07-18,chatgpt,0
2021-07-25,chatgpt,0
2021-08-01,chatgpt,0
2021-08-08,chatgpt,0
2021-08-15,chatgpt,0
2021-08-22,chatgpt,0
2021-08-29,chatgpt,0
2021-09-05,chatgpt,0
2021-09-12,chatgpt,0
2021-09-19,chatgpt,0
2021-09-26,chatgpt,0
2021-10-03,chatgpt,0
2021-10-10,chatgpt,0
2021-10-17,chatgpt,0
2021-10-24,chatgpt,0
2021-10-31,chatgpt,0
2021-11-07,chatgpt,0
2021-11-14,chatgpt,0
2021-11-21,chatgpt,0
2021-11-28,chatgpt,0
2021-12-05,chatgpt,0
2021-12-12,chatgpt,0
2021-12-19,chatgpt,0
2021-12-26,chatgpt,0
2022-01-02,chatgpt,0
2022-01-09,chatgpt,0
2022-01-16,chatgpt,0
2022-01-23,chatgpt,0
2022-01-30,chatgpt,0
2022-02-06,chatgpt,0
2022-02-13,chatgpt,0
2022-02-20,chatgpt,0
2022-02-27,chatgpt,0
2022-03-06,chatgpt,0
2022-03-13,chatgpt,0
2022-03-20,chatgpt,0
2022-03-27,chatgpt,0
2022-04-03,chatgpt,0
2022-04-10,chatgpt,0
2022-04-17,chatgpt,0
2022-04-24,chatgpt,0
2022-05-01,chatgpt,0
2022-05-08,chatgpt,0
2022-05-15,chatgpt,0
2022-05-22,chatgpt,0
2022-05-29,chatgpt,0
2022-06-05,chatgpt,0
2022-06-12,chatgpt,0
2022-06-19,chatgpt,0
2022-06-26,chatgpt,0
2022-07-03,chatgpt,0
2022-07-10,chatgpt,0
2022-07-17,chatgpt,0
2022-07-24,chatgpt,0
2022-07-31,chatgpt,0
2022-08-07,chatgpt,0
2022-08-14,chatgpt,0
2022-08-21,chatgpt,0
2022-08-28,chatgpt,0
2022-09-04,chatgpt,0
2022-09-11,chatgpt,0
2022-09-18,chatgpt,0
2022-09-25,chatgpt,0
2022-10-02,chatgpt,0
2022-10-09,chatgpt,0
2022-10-16,chatgpt,0
2022-10-23,chatgpt,0
2022-10-30,chatgpt,0
2022-11-06,chatgpt,0
2022-11-13,chatgpt,0
2022-11-20,chatgpt,0
2022-11-27,chatgpt,0
2022-12-04,chatgpt,0
2022-12-11,chatgpt,1
2022-12-18,chatgpt,1
2022-12-25,chatgpt,1
2023-01-01,chatgpt,1
2023-01-08,chatgpt,2
2023-01-15,chatgpt,3
2023-01-22,chatgpt,3
2023-01-29,chatgpt,2
2023-02-05,chatgpt,2
2023-02-12,chatgpt,2
2023-02-19,chatgpt,2
2023-02-26,chatgpt,2
2023-03-05,chatgpt,2
2023-03-12,chatgpt,3
2023-03-19,chatgpt,3
2023-03-26,chatgpt,3
2023-04-02,chatgpt,3
2023-04-09,chatgpt,3
2023-04-16,chatgpt,3
2023-04-23,chatgpt,3
2023-04-30,chatgpt,3
2023-05-07,chatgpt,2
2023-05-14,chatgpt,3
2023-05-21,chatgpt,3
2023-05-28,chatgpt,2
2023-06-04,chatgpt,2
2023-06-11,chatgpt,2
2023-06-18,chatgpt,2
2023-06-25,chatgpt,2
2023-07-02,chatgpt,2
2023-07-09,chatgpt,2
2023-07-16,chatgpt,2
2023-07-23,chatgpt,1
2023-07-30,chatgpt,1
2023-08-06,chatgpt,1
2023-08-13,chatgpt,1
2023-08-20,chatgpt,1
2023-08-27,chatgpt,2
2023-09-03,chatgpt,2
2023-09-10,chatgpt,2
2023-09-17,chatgpt,2
2023-09-24,chatgpt,3
2023-10-01,chatgpt,3
2023-10-08,chatgpt,3
2023-10-15,chatgpt,3
2023-10-22,chatgpt,3
2023-10-29,chatgpt,2
2023-11-05,chatgpt,3
2023-11-12,chatgpt,3
2023-11-19,chatgpt,3
2023-11-26,chatgpt,3
2023-12-03,chatgpt,3
2023-12-10,chatgpt,3
2023-12-17,chatgpt,3
2023-12-24,chatgpt,2
2023-12-31,chatgpt,2
2024-01-07,chatgpt,3
2024-01-14,chatgpt,2
2024-01-21,chatgpt,3
2024-01-28,chatgpt,3
2024-02-04,chatgpt,3
2024-02-11,chatgpt,3
2024-02-18,chatgpt,3
2024-02-25,chatgpt,2
2024-03-03,chatgpt,3
2024-03-10,chatgpt,3
2024-03-17,chatgpt,3
2024-03-24,chatgpt,3
2024-03-31,chatgpt,3
2024-04-07,chatgpt,3
2024-04-14,chatgpt,2
2024-04-21,chatgpt,2
2024-04-28,chatgpt,2
2024-05-05,chatgpt,2
2024-05-12,chatgpt,3
2024-05-19,chatgpt,3
2024-05-26,chatgpt,2
2024-06-02,chatgpt,3
2024-06-09,chatgpt,2
2024-06-16,chatgpt,2
2024-06-23,chatgpt,2
2024-06-30,chatgpt,2
2024-07-07,chatgpt,2
2024-07-14,chatgpt,2
2024-07-21,chatgpt,1
2024-07-28,chatgpt,1
2024-08-04,chatgpt,1
2024-08-11,chatgpt,1
2024-08-18,chatgpt,2
2024-08-25,chatgpt,2
2024-09-01,chatgpt,2
2024-09-08,chatgpt,3
2024-09-15,chatgpt,3
2024-09-22,chatgpt,4
2024-09-29,chatgpt,4
2024-10-06,chatgpt,4
2024-10-13,chatgpt,5
2024-10-20,chatgpt,5
2024-10-27,chatgpt,5
2024-11-03,chatgpt,6
2024-11-10,chatgpt,6
2024-11-17,chatgpt,6
2024-11-24,chatgpt,6
2024-12-01,chatgpt,6
2024-12-08,chatgpt,7
2024-12-15,chatgpt,6
2024-12-22,chatgpt,4
2024-12-29,chatgpt,5
2025-01-05,chatgpt,6
2025-01-12,chatgpt,6
2025-01-19,chatgpt,6
2025-01-26,chatgpt,5
2025-02-02,chatgpt,6
2025-02-09,chatgpt,6
2025-02-16,chatgpt,5
2025-02-23,chatgpt,6
2025-03-02,chatgpt,6
2025-03-09,chatgpt,6
2025-03-16,chatgpt,6
2025-03-23,chatgpt,6
2025-03-30,chatgpt,7
2025-04-06,chatgpt,9
2025-04-13,chatgpt,7
2025-04-20,chatgpt,7
2025-04-27,chatgpt,6
2025-05-04,chatgpt,6
2025-05-11,chatgpt,8
2025-05-18,chatgpt,9
2025-05-25,chatgpt,8
2025-06-01,chatgpt,9
2025-06-08,chatgpt,9
2025-06-15,chatgpt,8
2025-06-22,chatgpt,9
2025-06-29,chatgpt,8
2025-07-06,chatgpt,8
2025-07-13,chatgpt,8
2025-07-20,chatgpt,8
2025-07-27,chatgpt,7
2025-08-03,chatgpt,7
2025-08-10,chatgpt,6
2025-08-17,chatgpt,7
2025-08-24,chatgpt,7
2025-08-31,chatgpt,8
2025-09-07,chatgpt,9
2025-09-14,chatgpt,10
2025-09-21,chatgpt,11
2025-09-28,chatgpt,11
2025-10-05,chatgpt,10
2025-10-12,chatgpt,10
2025-10-19,chatgpt,11
2025-10-26,chatgpt,10
2025-11-02,chatgpt,12
2025-11-09,chatgpt,11
2025-11-16,chatgpt,13
2025-11-23,chatgpt,13
2025-11-30,chatgpt,12
2025-12-07,chatgpt,12
2025-12-14,chatgpt,12
2025-12-21,chatgpt,9
2025-12-28,chatgpt,10
2026-01-04,chatgpt,11
2026-01-11,chatgpt,11
2026-01-18,chatgpt,12
2021-01-17,iphone,7
2021-01-24,iphone,7
2021-01-31,iphone,7
2021-02-07,iphone,7
2021-02-14,iphone,7
2021-02-21,iphone,7
2021-02-28,iphone,7
2021-03-07,iphone,7
2021-03-14,iphone,6
2021-03-21,iphone,6
2021-03-28,iphone,6
2021-04-04,iphone,6
2021-04-11,iphone,6
2021-04-18,iphone,6
2021-04-25,iphone,6
2021-05-02,iphone,6
2021-05-09,iphone,6
2021-05-16,iphone,6
2021-05-23,iphone,6
2021-05-30,iphone,6
2021-06-06,iphone,6
2021-06-13,iphone,6
2021-06-20,iphone,6
2021-06-27,iphone,6
2021-07-04,iphone,7
2021-07-11,iphone,7
2021-07-18,iphone,8
2021-07-25,iphone,7
2021-08-01,iphone,7
2021-08-08,iphone,8
2021-08-15,iphone,7
2021-08-22,iphone,8
2021-08-29,iphone,8
2021-09-05,iphone,8
2021-09-12,iphone,12
2021-09-19,iphone,11
2021-09-26,iphone,10
2021-10-03,iphone,9
2021-10-10,iphone,8
2021-10-17,iphone,8
2021-10-24,iphone,8
2021-10-31,iphone,8
2021-11-07,iphone,8
2021-11-14,iphone,8
2021-11-21,iphone,9
2021-11-28,iphone,9
2021-12-05,iphone,9
2021-12-12,iphone,8
2021-12-19,iphone,11
2021-12-26,iphone,11
2022-01-02,iphone,9
2022-01-09,iphone,8
2022-01-16,iphone,7
2022-01-23,iphone,7
2022-01-30,iphone,7
2022-02-06,iphone,7
2022-02-13,iphone,7
2022-02-20,iphone,7
2022-02-27,iphone,7
2022-03-06,iphone,7
2022-03-13,iphone,7
2022-03-20,iphone,7
2022-03-27,iphone,6
2022-04-03,iphone,7
2022-04-10,iphone,7
2022-04-17,iphone,7
2022-04-24,iphone,7
2022-05-01,iphone,7
2022-05-08,iphone,6
2022-05-15,iphone,6
2022-05-22,iphone,6
2022-05-29,iphone,7
2022-06-05,iphone,7
2022-06-12,iphone,7
2022-06-19,iphone,7
2022-06-26,iphone,7
2022-07-03,iphone,8
2022-07-10,iphone,7
2022-07-17,iphone,8
2022-07-24,iphone,8
2022-07-31,iphone,8
2022-08-07,iphone,8
2022-08-14,iphone,8
2022-08-21,iphone,8
2022-08-28,iphone,8
2022-09-04,iphone,13
2022-09-11,iphone,12
2022-09-18,iphone,11
2022-09-25,iphone,9
2022-10-02,iphone,8
2022-10-09,iphone,8
2022-10-16,iphone,7
2022-10-23,iphone,8
2022-10-30,iphone,8
2022-11-06,iphone,7
2022-11-13,iphone,8
2022-11-20,iphone,9
2022-11-27,iphone,8
2022-12-04,iphone,8
2022-12-11,iphone,8
2022-12-18,iphone,9
2022-12-25,iphone,11
2023-01-01,iphone,9
2023-01-08,iphone,8
2023-01-15,iphone,7
2023-01-22,iphone,7
2023-01-29,iphone,7
2023-02-05,iphone,7
2023-02-12,iphone,7
2023-02-19,iphone,7
2023-02-26,iphone,7
2023-03-05,iphone,7
2023-03-12,iphone,7
2023-03-19,iphone,6
2023-03-26,iphone,7
2023-04-02,iphone,7
2023-04-09,iphone,7
2023-04-16,iphone,7
2023-04-23,iphone,7
2023-04-30,iphone,7
2023-05-07,iphone,7
2023-05-14,iphone,7
2023-05-21,iphone,7
2023-05-28,iphone,7
2023-06-04,iphone,7
2023-06-11,iphone,7
2023-06-18,iphone,7
2023-06-25,iphone,7
2023-07-02,iphone,8
2023-07-09,iphone,8
2023-07-16,iphone,8
2023-07-23,iphone,8
2023-07-30,iphone,8
2023-08-06,iphone,8
2023-08-13,iphone,8
2023-08-20,iphone,8
2023-08-27,iphone,8
2023-09-03,iphone,7
2023-09-10,iphone,16
2023-09-17,iphone,12
2023-09-24,iphone,11
2023-10-01,iphone,9
2023-10-08,iphone,8
2023-10-15,iphone,8
2023-10-22,iphone,8
2023-10-29,iphone,8
2023-11-05,iphone,7
2023-11-12,iphone,8
2023-11-19,iphone,9
2023-11-26,iphone,8
2023-12-03,iphone,8
2023-12-10,iphone,8
2023-12-17,iphone,8
2023-12-24,iphone,11
2023-12-31,iphone,8
2024-01-07,iphone,7
2024-01-14,iphone,7
2024-01-21,iphone,7
2024-01-28,iphone,7
2024-02-04,iphone,7
2024-02-11,iphone,7
2024-02-18,iphone,7
2024-02-25,iphone,7
2024-03-03,iphone,7
2024-03-10,iphone,6
2024-03-17,iphone,7
2024-03-24,iphone,7
2024-03-31,iphone,7
2024-04-07,iphone,7
2024-04-14,iphone,7
2024-04-21,iphone,7
2024-04-28,iphone,7
2024-05-05,iphone,7
2024-05-12,iphone,7
2024-05-19,iphone,7
2024-05-26,iphone,7
2024-06-02,iphone,7
2024-06-09,iphone,7
2024-06-16,iphone,7
2024-06-23,iphone,7
2024-06-30,iphone,7
2024-07-07,iphone,7
2024-07-14,iphone,8
2024-07-21,iphone,8
2024-07-28,iphone,7
2024-08-04,iphone,8
2024-08-11,iphone,8
2024-08-18,iphone,9
2024-08-25,iphone,9
2024-09-01,iphone,8
2024-09-08,iphone,13
2024-09-15,iphone,11
2024-09-22,iphone,11
2024-09-29,iphone,9
2024-10-06,iphone,9
2024-10-13,iphone,8
2024-10-20,iphone,8
2024-10-27,iphone,8
2024-11-03,iphone,8
2024-11-10,iphone,8
2024-11-17,iphone,9
2024-11-24,iphone,10
2024-12-01,iphone,10
2024-12-08,iphone,9
2024-12-15,iphone,9
2024-12-22,iphone,12
2024-12-29,iphone,10
2025-01-05,iphone,9
2025-01-12,iphone,8
2025-01-19,iphone,7
2025-01-26,iphone,7
2025-02-02,iphone,8
2025-02-09,iphone,8
2025-02-16,iphone,9
2025-02-23,iphone,9
2025-03-02,iphone,9
2025-03-09,iphone,8
2025-03-16,iphone,8
2025-03-23,iphone,7
2025-03-30,iphone,8
2025-04-06,iphone,8
2025-04-13,iphone,8
2025-04-20,iphone,8
2025-04-27,iphone,7
2025-05-04,iphone,8
2025-05-11,iphone,7
2025-05-18,iphone,7
2025-05-25,iphone,7
2025-06-01,iphone,7
2025-06-08,iphone,8
2025-06-15,iphone,7
2025-06-22,iphone,7
2025-06-29,iphone,8
2025-07-06,iphone,8
2025-07-13,iphone,8
2025-07-20,iphone,8
2025-07-27,iphone,8
2025-08-03,iphone,8
2025-08-10,iphone,8
2025-08-17,iphone,8
2025-08-24,iphone,9
2025-08-31,iphone,9
2025-09-07,iphone,16
2025-09-14,iphone,13
2025-09-21,iphone,12
2025-09-28,iphone,10
2025-10-05,iphone,9
2025-10-12,iphone,9
2025-10-19,iphone,9
2025-10-26,iphone,9
2025-11-02,iphone,10
2025-11-09,iphone,9
2025-11-16,iphone,10
2025-11-23,iphone,12
2025-11-30,iphone,11
2025-12-07,iphone,10
2025-12-14,iphone,10
2025-12-21,iphone,13
2025-12-28,iphone,11
2026-01-04,iphone,9
2026-01-11,iphone,8
2026-01-18,iphone,8
2021-01-17,meteo,39
2021-01-24,meteo,36
2021-01-31,meteo,36
2021-02-07,meteo,63
2021-02-14,meteo,34
2021-02-21,meteo,36
2021-02-28,meteo,34
2021-03-07,meteo,41
2021-03-14,meteo,36
2021-03-21,meteo,35
2021-03-28,meteo,40
2021-04-04,meteo,41
2021-04-11,meteo,38
2021-04-18,meteo,37
2021-04-25,meteo,47
2021-05-02,meteo,59
2021-05-09,meteo,75
2021-05-16,meteo,65
2021-05-23,meteo,56
2021-05-30,meteo,72
2021-06-06,meteo,47
2021-06-13,meteo,76
2021-06-20,meteo,75
2021-06-27,meteo,71
2021-07-04,meteo,77
2021-07-11,meteo,74
2021-07-18,meteo,66
2021-07-25,meteo,75
2021-08-01,meteo,81
2021-08-08,meteo,60
2021-08-15,meteo,66
2021-08-22,meteo,49
2021-08-29,meteo,55
2021-09-05,meteo,67
2021-09-12,meteo,69
2021-09-19,meteo,53
2021-09-26,meteo,53
2021-10-03,meteo,45
2021-10-10,meteo,30
2021-10-17,meteo,41
2021-10-24,meteo,45
2021-10-31,meteo,39
2021-11-07,meteo,32
2021-11-14,meteo,27
2021-11-21,meteo,37
2021-11-28,meteo,39
2021-12-05,meteo,36
2021-12-12,meteo,20
2021-12-19,meteo,26
2021-12-26,meteo,28
2022-01-02,meteo,31
2022-01-09,meteo,25
2022-01-16,meteo,22
2022-01-23,meteo,23
2022-01-30,meteo,29
2022-02-06,meteo,33
2022-02-13,meteo,41
2022-02-20,meteo,31
2022-02-27,meteo,31
2022-03-06,meteo,36
2022-03-13,meteo,34
2022-03-20,meteo,29
2022-03-27,meteo,56
2022-04-03,meteo,52
2022-04-10,meteo,45
2022-04-17,meteo,58
2022-04-24,meteo,44
2022-05-01,meteo,48
2022-05-08,meteo,49
2022-05-15,meteo,66
2022-05-22,meteo,67
2022-05-29,meteo,74
2022-06-05,meteo,60
2022-06-12,meteo,69
2022-06-19,meteo,94
2022-06-26,meteo,61
2022-07-03,meteo,44
2022-07-10,meteo,50
2022-07-17,meteo,84
2022-07-24,meteo,60
2022-07-31,meteo,62
2022-08-07,meteo,79
2022-08-14,meteo,100
2022-08-21,meteo,62
2022-08-28,meteo,71
2022-09-04,meteo,71
2022-09-11,meteo,59
2022-09-18,meteo,51
2022-09-25,meteo,53
2022-10-02,meteo,39
2022-10-09,meteo,42
2022-10-16,meteo,48
2022-10-23,meteo,43
2022-10-30,meteo,49
2022-11-06,meteo,35
2022-11-13,meteo,40
2022-11-20,meteo,34
2022-11-27,meteo,34
2022-12-04,meteo,38
2022-12-11,meteo,59
2022-12-18,meteo,38
2022-12-25,meteo,35
2023-01-01,meteo,32
2023-01-08,meteo,37
2023-01-15,meteo,57
2023-01-22,meteo,37
2023-01-29,meteo,29
2023-02-05,meteo,27
2023-02-12,meteo,29
2023-02-19,meteo,40
2023-02-26,meteo,36
2023-03-05,meteo,43
2023-03-12,meteo,46
2023-03-19,meteo,42
2023-03-26,meteo,49
2023-04-02,meteo,44
2023-04-09,meteo,57
2023-04-16,meteo,55
2023-04-23,meteo,64
2023-04-30,meteo,64
2023-05-07,meteo,73
2023-05-14,meteo,68
2023-05-21,meteo,55
2023-05-28,meteo,55
2023-06-04,meteo,67
2023-06-11,meteo,64
2023-06-18,meteo,72
2023-06-25,meteo,61
