month,signal,avg_interest,max_interest
2021-01,chatgpt,0.0,0
2021-01,iphone,7.0,7
2021-01,meteo,37.0,39
2021-02,chatgpt,0.0,0
2021-02,iphone,7.0,7
2021-02,meteo,41.75,63
2021-03,chatgpt,0.0,0
2021-03,iphone,6.25,7
2021-03,meteo,38.0,41
2021-04,chatgpt,0.0,0
2021-04,iphone,6.0,6
2021-04,meteo,40.75,47
2021-05,chatgpt,0.0,0
2021-05,iphone,6.0,6
2021-05,meteo,65.4,75
2021-06,chatgpt,0.0,0
2021-06,iphone,6.0,6
2021-06,meteo,67.25,76
2021-07,chatgpt,0.0,0
2021-07,iphone,7.25,8
2021-07,meteo,73.0,77
2021-08,chatgpt,0.0,0
2021-08,iphone,7.6,8
2021-08,meteo,62.2,81
2021-09,chatgpt,0.0,0
2021-09,iphone,10.25,12
2021-09,meteo,60.5,69
2021-10,chatgpt,0.0,0
2021-10,iphone,8.2,9
2021-10,meteo,40.0,45
2021-11,chatgpt,0.0,0
2021-11,iphone,8.5,9
2021-11,meteo,33.75,39
2021-12,chatgpt,0.0,0
2021-12,iphone,9.75,11
2021-12,meteo,27.5,36
2022-01,chatgpt,0.0,0
2022-01,iphone,7.6,9
2022-01,meteo,26.0,31
2022-02,chatgpt,0.0,0
2022-02,iphone,7.0,7
2022-02,meteo,34.0,41
2022-03,chatgpt,0.0,0
2022-03,iphone,6.75,7
2022-03,meteo,38.75,56
2022-04,chatgpt,0.0,0
2022-04,iphone,7.0,7
2022-04,meteo,49.75,58
2022-05,chatgpt,0.0,0
2022-05,iphone,6.4,7
2022-05,meteo,60.8,74
2022-06,chatgpt,0.0,0
2022-06,iphone,7.0,7
2022-06,meteo,71.0,94
2022-07,chatgpt,0.0,0
2022-07,iphone,7.8,8
2022-07,meteo,60.0,84
2022-08,chatgpt,0.0,0
2022-08,iphone,8.0,8
2022-08,meteo,78.0,100
2022-09,chatgpt,0.0,0
2022-09,iphone,11.25,13
2022-09,meteo,58.5,71
2022-10,chatgpt,0.0,0
2022-10,iphone,7.8,8
2022-10,meteo,44.2,49
2022-11,chatgpt,0.0,0
2022-11,iphone,8.0,9
2022-11,meteo,35.75,40
2022-12,chatgpt,0.75,1
2022-12,iphone,9.0,11
2022-12,meteo,42.5,59
2023-01,chatgpt,2.2,3
2023-01,iphone,7.6,9
2023-01,meteo,38.4,57
2023-02,chatgpt,2.0,2
2023-02,iphone,7.0,7
2023-02,meteo,33.0,40
2023-03,chatgpt,2.75,3
2023-03,iphone,6.75,7
2023-03,meteo,45.0,49
2023-04,chatgpt,3.0,3
2023-04,iphone,7.0,7
2023-04,meteo,56.8,64
2023-05,chatgpt,2.5,3
2023-05,iphone,7.0,7
2023-05,meteo,62.75,73
2023-06,chatgpt,2.0,2
2023-06,iphone,7.0,7
2023-06,meteo,66.0,72
2023-07,chatgpt,1.6,2
2023-07,iphone,8.0,8
2023-07,meteo,71.2,84
2023-08,chatgpt,1.25,2
